jobTitle,jobCompany,jobLocation,jobPostDate,today,jobSalary,jobSummary,jobURL
radiation surveyor,"BHI Energy of Canada, Inc","Pembroke, ON",3 days ago,2021-01-21,$54 an hour,Secondary (high) school graduation certificate 5 years or more Security and Safety Basic security clearance Own Tools/Equipment Steel-toed safety boots Work…,http://indeed.com/rc/clk?jk=2e79b32b76813561&fccid=d398bd30d7968aee&vjs=3
Call Centre Agent,Toronto Community Housing,"Toronto, ON",2 days ago,2021-01-21,$30.97 an hour,Ability to recognize and respond to conflict in a manner that respects the dignity and human rights of individuals and groups.,http://indeed.com/rc/clk?jk=6b7406a8c4b03148&fccid=d143a20c7b916282&vjs=3
"Casual Labourers (Parks), T&O",City of Belleville,"Belleville, ON",1 day ago,2021-01-21,$21.17 an hour,"Certification or training in first aid, elevated lifting devices, workplace and traffic safety.
Valid Class G Licence with a clean driver’s abstract.",http://indeed.com/rc/clk?jk=d8306e1cee2ef7d0&fccid=12fbceee9939c7b4&vjs=3
Junior Administrative Assistant,Sone Rovet Chasson LLP,"Toronto, ON",Today,2021-01-21,,"General administrative duties include but are not limited to: photocopying, scanning, archiving, sorting client correspondence, typing various communication &…","http://indeed.com/company/SONE-&-ROVET,-LLP/jobs/Junior-Administrative-Assistant-f634b7b338e5c497?fccid=c349fe698dc03dea&vjs=3"
Greeter - St. Joseph's Health Centre,St. Joseph's Health Centre,"Toronto, ON",2 days ago,2021-01-21,,"Screen all persons wishing to enter St. Joseph's Health Centre using a standardized screening tool.
Ensure all persons entering the facility follow proper…",http://indeed.com/rc/clk?jk=60636917f2410547&fccid=8e32d72489a91f47&vjs=3
Government Relations & Policy Internship - Canada (Fall 2021),Tesla,"Toronto, ON",22 days ago,2021-01-21,,"Currently pursuing an undergraduate or graduate degree in relevant fields such as Political Science, Public Policy, International Studies, Economics or Business…",http://indeed.com/rc/clk?jk=da3113af37cd3ae2&fccid=86e9be6ce380173e&vjs=3
PSC Reception Clerk - Full time - Temporary,LifeLabs,"Dundas, ON",Just posted,2021-01-21,,"This position will be the first point of contact for customers and will be welcoming and ensure a positive experience, whether the interaction occurs in person…",http://indeed.com/rc/clk?jk=63477bca7262c4f8&fccid=0530193efcb7d8ff&vjs=3
Tiktok Content Creator,TKEES,"Toronto, ON",Just posted,2021-01-21,,"Experience with native social media tools and content creation apps.
Engage with the TikTok community in a way that is on-brand.",http://indeed.com/rc/clk?jk=624bea05f300b01c&fccid=51f9e96974b14290&vjs=3
Housing Program Support Intern,Jake's House Charity,"Mississauga, ON",2 days ago,2021-01-21,,Jake’s House is seeking a Housing Support Intern to assist the Director of Housing with administrative tasks required to develop our inclusive housing program…,http://indeed.com/company/Jake's-House-for-Children-with-Autism/jobs/Housing-Program-Support-Intern-16534cfeadc69bb3?fccid=9e3ab979734055de&vjs=3
Research Associate,CLAC,"Cambridge, ON",1 day ago,2021-01-21,,These are entry-level positions responsible for daily client service including research requests and general labour relations research support for member…,http://indeed.com/company/CLAC-Union/jobs/Research-Associate-27d4aa324ef2a071?fccid=967278c28f20aa6c&vjs=3
"barista - Store# 17203, 1341 MAIN ST W",Starbucks,"Hamilton, ON",30+ days ago,2021-01-21,,"Discounts with local and national retailers (cell phones, gym memberships, entertainment tickets, hotels, etc.).",http://indeed.com/rc/clk?jk=498d93b5be9976c8&fccid=a88e611ddef97571&vjs=3
Junior Financial Analyst,Waterloo Catholic District School Board,"Kitchener, ON",1 day ago,2021-01-21,"$58,857 - $69,242 a year","Diploma or degree in a business-related field.
Working in collaboration with the Senior Financial Analyst to monitor budgets, prepare variance analysis,…",http://indeed.com/rc/clk?jk=fbbe544301925bf3&fccid=1ae87f315bdf9bff&vjs=3
Separations Lab Technician,Toronto Research Chemicals,"Toronto, ON",Just posted,2021-01-21,,"Bachelor’s Degree in Chemistry or similar degree or related experience.
Contribute to a safe working environment and maintain an accurate record of all work,…",http://indeed.com/company/Toronto-Research-Chemicals-Inc./jobs/Separation-Lab-Technician-cd35676b196520c7?fccid=7fe6d904cb0d9e89&vjs=3
Environmental Junior Professional,Dillon Consulting Limited,"Windsor, ON",Just posted,2021-01-21,,"A degree or technical college certificate/diploma in geology, civil or environmental engineering, hydrogeology, or another relevant environmental science or…",http://indeed.com/rc/clk?jk=fa1aecbcc66df53f&fccid=6a34323eae72ab52&vjs=3
CASUAL RELIEF Clinic Receptionist,Wentworth Halton X-Ray & Ultrasound,"Burlington, ON",Just posted,2021-01-21,$13 - $21 an hour,"Answering calls, returning calls and messages.
Receiving phone calls, electronic forms and faxes and scheduling patients for exams.",http://indeed.com/company/Wentworth-Halton-X--Ray-&-Ultrasound/jobs/Casual-Relief-Clinic-Receptionist-e76663ff130a1784?fccid=0270fec5e738b0c0&vjs=3
Kitchen Assistant,Malwa Meats and Takeout,"Cambridge, ON",2 days ago,2021-01-21,,"Chopping, cleaning,dishwasher,cooking. Job Type: Part-time Benefits: * Discounted or free food Schedule: * On call * Weekends Education: * Secondary School …",http://indeed.com/company/Malwa-Meats-and-Takeout/jobs/Kitchen-Assistant-24e57a64c8be30b9?fccid=4a4af6936eab2a02&vjs=3
NIGHTCREW PC Express Personal Shopper,Mitchell's Independent Grocer,"Carleton Place, ON",Today,2021-01-21,$14.25 an hour,"Create a positive workplace by developing relationships and engaging with your team and customers.
Mitchell's Independent Grocer is looking for customer…",http://indeed.com/company/Mitchell's-Independent-Grocer/jobs/Nightcrew-PC-Express-Personal-Shopper-a501fc2274fd629c?fccid=a74716151b648e0c&vjs=3
administrative assistant,Tim Horton's,"Scarborough, ON",Today,2021-01-21,$22.53 an hour,"Answer telephone and relay telephone calls and messages.
No degree, certificate or diploma.
Open and distribute regular and electronic incoming mail and other…",http://indeed.com/rc/clk?jk=452f6fe76c1ba402&fccid=4b16d6cba3beba72&vjs=3
Kitchen Clerk,Loblaw Companies Limited,"Toronto, ON",Just posted,2021-01-21,,"Unpack and store supplies in refrigerators, cupboards and other storage areas.
Sweep and mop floors, and perform other duties to assist cook and kitchen staff.",http://indeed.com/rc/clk?jk=6c179af7a4565f7b&fccid=bc30630cfcc120d4&vjs=3
Rece,Little Learning House Child Care Centre,"Hamilton, ON",Today,2021-01-21,$15.75 an hour,"First aid and CPR level c certification which is currently valid.
\*This position requires a graduate of a recognized ECE program who has registered with the…",http://indeed.com/company/Little-Learning-House/jobs/Rece-d200f285e4378280?fccid=768b1fc08ade3235&vjs=3
"1 Temporary Full Time PSYCHOMETRIST, Regional Support Associates (Woodstock Office)",Woodstock Hospital,"Woodstock, ON",Just posted,2021-01-21,,Knowledge in the field of social and health sciences as would be normally acquired through the completion of a university graduate degree in psychology.,http://indeed.com/rc/clk?jk=cbb2f9ece1f9f16e&fccid=b498a08bf47bd474&vjs=3
Resort Manager,Forge & Foster,"Hamilton, ON",21 days ago,2021-01-21,,"Thrives on building relationships with others and creating a sense of community.
Be the day-to-day point of contact for visitors and residents and respond to…",http://indeed.com/company/Forge-&-Foster/jobs/Resort-Manager-539e2d4f05316cb8?fccid=be7e51d5696a0ea6&vjs=3
Full Time Program Services Caseworker,The Salvation Army Sutton Youth Shelter,"Sutton, ON",1 day ago,2021-01-21,$18.48 - $27.72 an hour,"Ensure that all telephone calls are recorded according to policy.
Perform all necessary clerical duties for client documentation, including Emergency housing…",http://indeed.com/company/The-Salvation-Army/jobs/Program-Service-Caseworker-95cef2562f837cfd?fccid=1478f375b56b55d4&vjs=3
Lithium Ion Manufacturing: Post-Doc Fellowships,Electrovaya,"Mississauga, ON",Just posted,2021-01-21,"$50,000 - $60,000 a year","Join a multidisciplinary team of electrochemists, materials engineers, electrical, mechanical, firmware engineers, and business development.",http://indeed.com/company/electrovaya/jobs/Lithium-Ion-Manufacturing-8683794cc0f91e7a?fccid=0c3833ad482b901e&vjs=3
Research Associate,CRG-EVERSANA,"Burlington, ON",15 days ago,2021-01-21,"$60,000 - $70,000 a year","Support or conduct the design, execution, analysis, and reporting of health economic projects and strategic market access studies for global pharmaceutical and…",http://indeed.com/company/EVERSANA-Canada/jobs/Research-Associate-04e0eaa95a0125ff?fccid=54e001689b8ccd6d&vjs=3
Youth Employment Program,North York YMCA Employment and Immigrant Services,"Toronto, ON",1 day ago,2021-01-21,$14.25 an hour,"\*This program is not suitable for youth with student or visitor visa\*.
Upon completion of the 12-week program, receive an additional $500 completion bonus!",http://indeed.com/company/North-York-YMCA-Employment-and-Immigrant-Services/jobs/Youth-Employment-Program-52f0c745c59ba49e?fccid=df633b75284ea8b0&vjs=3
Telemarket / Inside Sales,Royal LePage Realtor Brothers Team,"Mississauga, ON",Today,2021-01-21,$15 - $18 an hour,"Placing cold calls to prospective sellers in the GTA areas.
Participate in weekly Team Meetings.
Screening prospects by going through set up scripts.",http://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DB5KM736CsxBLn8z8V7iOzlWjyPdEXao6WstZUGcqaddmvlVB9mn0YuBzp1kvBaQkjqDJw88nSD0fg2UGpbK6Hpm_1_id_cpqu8lBjzWm23QWqoJ_U2pGD61i4RwqYdZyljBCQ4MRSu83n3abMhO-hbl2SeSyplIjngjLZbgn6S9n5zup9uhzNsmosl-yCOmkKOFSQgoD8oVOgHziDYOmFLX8plwyOXUPxjLm-SLtINTvCiU7vAdGeRQz-PFaj9rRLHx7CkRE4us766AaAhXGSVTFqXYFf8rGIXU82sDOu12qyxdeABaPL0BJ8i-E4BQ6j6shpyqwxojZPAxXOhmXd7cr9mslu7ZU6W4z0gUGZkX_hbmTG0PmIZxRiop_WZ8ugpBf3tPluZA2vDlFM8rr3fBERyE4Ka3hq_cRoo9LKYWyn7I6ZXAA4&p=7&fvj=1&vjs=3
Housekeeper,Pattern,"Burlington, ON",2 days ago,2021-01-21,$19 an hour,"Cleaning and disinfecting areas and items such as washrooms, vents, interior windows, walls, glass, doors and mirrors.
Shifts are 5-8 hours.",http://indeed.com/rc/clk?jk=19d67e76c99604d3&fccid=f2d3dc25d8066dca&vjs=3
Production Assistant,FPC Flexible Packaging Corp.,"Toronto, ON",2 days ago,2021-01-21,$18.62 - $21.93 an hour,"We will provide reasonable accommodation to applicants with disabilities at all stages of the hiring process in accordance with the Ontario Human Rights Code,…",http://indeed.com/company/FPC-Flexible-Packaging-Corp./jobs/Production-Assistant-49ca51513870650e?fccid=410750c7359a2902&vjs=3
Summer Camp Counselor,Variety - The Children's Charity,"Scarborough, ON",Just posted,2021-01-21,$14.25 - $14.75 an hour,"Variety Village is seeking enthusiastic, passionate individuals to join our Camps, Aquatics Programs, and Area Coverage teams for Summer 2021.",http://indeed.com/company/Variety-Village/jobs/Summer-Camp-Counselor-5ece4383ee22ab15?fccid=73e0a83a3a95d2bb&vjs=3
administrative assistant,Net Freight System Inc.,"Mississauga, ON",Just posted,2021-01-21,$22.60 an hour,"Answer telephone and relay telephone calls and messages.
Set up and maintain manual and computerized information filing systems.
7 months to less than 1 year.",http://indeed.com/rc/clk?jk=bd8d3993aed3c8fe&fccid=9078b5ba97cee62f&vjs=3
Cashier - Part Time,Longo's,"Ancaster, ON",Today,2021-01-21,,"Longo’s is committed to providing accommodations for people with disabilities throughout the recruitment process and, upon request, will work with qualified job…",http://indeed.com/rc/clk?jk=e0416c12de8aa1b3&fccid=12d7e6ef50236178&vjs=3
Hamilton - Team Administrative Assistant - Temporary,KPMG,"Hamilton, ON",2 days ago,2021-01-21,,"Scan files for digitization and store them electronically.
Schedule meetings including booking of meeting rooms, meals and AV requirements.",http://indeed.com/rc/clk?jk=a1972343e0a81a09&fccid=2dd390c3a48a7ed0&vjs=3
Store Associate,Dymon Storage,"Oshawa, ON",1 day ago,2021-01-21,,"Draw on your selling skills to develop customer relationships as well as follow-up.
Demonstrate customer centric approach and an ability to develop…",http://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DsHHkWgQMXLB7TSMtgwZIXJoRTseb-CUZgmvdVQjH7lzXGDhGIY0w_BNPr84noBYHZ1_IBDBywx1kU8pjSq22L1ScHUF8dlV1TeTY0BEn2Yoqvgtce2qec7uKQwfzuWgKStVx4WVs3hXKp9WwRRvAGzgyj-qVkrEKd1gfWRg8VoPrcWikioTBc7L_jtzy9VgoiFj0Xkn749u18f4HghyC3LA3i__tlRRVwLenqD0PfxSkzzRCpITiaFYe1dfa-84y0Wvc14EoykFgVyc5B-vfrJFYTXRSDOGuVUBK1l3KGg5WA5EDf5jzDsAzxVjLChpaIe7DPmDhPRhVvb33AVXEPH9reW_uLFwoYS2viy12LUhItG_5809Ee_fFgc0C8Nsrvm3pto1MF2Q3cT35OYBKqe5h6X4HJdoAPitVeHNckE-gGeWvslTAa&p=14&fvj=1&vjs=3
Laboratory Assistant - Distribution,Canadian Blood Services,"Brampton, ON",Today,2021-01-21,,"Assists the laboratory manager or designate in the development and evaluation of procedures, such as integration of a new procedure.",http://indeed.com/rc/clk?jk=0ddc6a5c1f6d7fa2&fccid=d7e08c8a3c1c30c7&vjs=3
vegetable packer - farm,PROSTAFF Employment Solutions,"Kingsville, ON",1 day ago,2021-01-21,$14.25 an hour,"No degree, certificate or diploma.
Up to 9 kg (20 lbs).",http://indeed.com/rc/clk?jk=f4d3e67278f87bd8&fccid=2bd06fce50ba6f59&vjs=3
Store Colleague,Holland & Barrett,"Grimsby, ON",9 days ago,2021-01-21,,"Sure, like a sales advisor you'll serve customers, fill up the shelves and keep the whole place looking spick and span.",http://indeed.com/rc/clk?jk=bb0e0a7042de1aaf&fccid=344344dda6e83d9f&vjs=3
stock clerk - retail,Bulk Barn,"Toronto, ON",1 day ago,2021-01-21,$14.25 an hour,"Process money, cheques and credit/debit card payments.
Carry customer's purchases to parking lot and pack orders in customers' vehicles.
Up to 45 kg (100 lbs).",http://indeed.com/rc/clk?jk=2e9e0905578ad9b4&fccid=70110a1621ea5398&vjs=3
Resident Support Aide,Chartwell Retirement Residences,"Hamilton, ON",2 days ago,2021-01-21,,"Effectively communicates and interacts with residents, family members, visitors, staff and volunteers in a courteous and professional manner.",http://indeed.com/rc/clk?jk=65322008593f5146&fccid=44e32078a19ed2c8&vjs=3
Computrition Specialist,MIJAVA CORPORATION OF CANADA,"Oakville, ON",1 day ago,2021-01-21,$18 - $20 an hour,"Ability to support client calls in their day-to-day food service production environment.
Driver’s License and access to a car for on-site client visits.",http://indeed.com/company/mijava-Corporation-of-Canada/jobs/Computrition-Specialist-ffe528c7927d432e?fccid=bd4f85e193ea9138&vjs=3
Server,Sienna Senior Living,"Kitchener, ON",Just posted,2021-01-21,,"For Ontario locations, in accordance with the Accessibility for Ontarians with Disabilities Act 2005, upon request, support will be provided for accommodations…",http://indeed.com/rc/clk?jk=bc918eac2b6dee24&fccid=7b61a73576f746ae&vjs=3
People and Culture Manager,Grant Thornton,"Mississauga, ON",Today,2021-01-21,,"Assist our Leadership Team with talent assessment, workforce and succession planning, risk assessment and development plans.",http://indeed.com/rc/clk?jk=511d5f467de02049&fccid=7ac82fceed64aa81&vjs=3
"Research Assistant, BSV",Western University,"London, ON",Just posted,2021-01-21,$18 an hour,"Accommodations are available for applicants with disabilities throughout the recruitment process.
Must be a full time student at Western (enrolled in minimum 3…",http://indeed.com/rc/clk?jk=385a3336d64d74b9&fccid=ca97c94e665c20fe&vjs=3
Reconciliation Officer,Brink's Canada Limited,"Toronto, ON",Just posted,2021-01-21,,"Reporting directly to the Manager Cash Logistics (DX) and working in a team of four, the position will support the Cash Logistics operation in ATM…",http://indeed.com/rc/clk?jk=b631da1f8cb317a5&fccid=31db94852075eb93&vjs=3
WORKER ADVISER,"Ministry of Labour, Training and Skills Developmen...","Windsor, ON",13 days ago,2021-01-21,"$1,529 - $1,905 a week","You can manage a caseload and develop community outreach plans.
Advise and direct injured workers, survivors, their families and community partners regarding…",http://indeed.com/rc/clk?jk=e9b7eebf92c734ee&fccid=50fff88545069ba4&vjs=3
CONTROLLERSHIP AND RISK ANALYST,Ministry of Natural Resources and Forestry,"Peterborough, ON",10 days ago,2021-01-21,"$63,890 - $89,324 a year","Monitor internal controls throughout the ministry to ensure that processes and systems comply with directives and policies, to avoid conflict of interest, and…",http://indeed.com/rc/clk?jk=0274940d5b716b1d&fccid=67541f2e6ad0aee9&vjs=3
Collections Legal Assistant,Christensen Law Firm,"Cambridge, ON",Just posted,2021-01-21,$17 - $19 an hour,"Communicate regularly with debtors via inbound and outbound calls, email and fax.
The compensation package includes a competitive base salary, merit pay program…",http://indeed.com/company/Christensen-Law-firm/jobs/Collection-Legal-Assistant-105cf6cfd2031266?fccid=9b9c1188435e9a25&vjs=3
